hasPeak.An_kdmB_20h_HA_1	hasPeak.An_kdmB_48h_HA_1	group	ID	Description	Count	GeneRatio	geneID
FALSE	TRUE	2	GO:0000075	cell cycle checkpoint	6	6/1077	AN5057/AN8751/AN4279/AN3735/AN7563/AN2439
FALSE	TRUE	2	GO:0000920	septum digestion after cytokinesis	6	6/1077	AN5057/AN4496/AN4036/AN7487/AN0988/AN0472
FALSE	TRUE	2	GO:0006457	protein folding	5	5/1077	AN4467/AN8680/AN8605/AN3592/AN1469
FALSE	TRUE	2	GO:0007165	signal transduction	35	35/1077	AN5057/AN4998/AN4795/AN4743/AN4685/AN8751/AN4281/AN4238/AN4167/AN4036/AN3934/AN3735/AN7252/AN7487/AN10999/AN7698/AN7743/AN6487/AN6820/AN6892/AN1404/AN1168/AN1016/AN0449/AN0163/AN0113/AN0112/AN0106/AN0081/AN2269/AN2439/AN2474/AN3438/AN3090/AN5787
FALSE	TRUE	2	GO:0006928	movement of cell or subcellular component	4	4/1077	AN8751/AN3710/AN7547/AN0420
FALSE	TRUE	2	GO:0006949	syncytium formation	3	3/1077	AN4743/AN2269/AN5614
FALSE	TRUE	2	GO:0007049	cell cycle	43	43/1077	AN5057/AN4896/AN4685/AN4601/AN8751/AN8605/AN11059/AN4279/AN4278/AN3735/AN3710/AN3579/AN7104/AN7032/AN7487/AN7563/AN7678/AN6069/AN5885/AN6578/AN6749/AN1399/AN1398/AN1324/AN1171/AN1016/AN0988/AN0472/AN0420/AN0253/AN0113/AN1922/AN2141/AN2143/AN2269/AN2426/AN2438/AN2439/AN3090/AN10336/AN5717/AN5635/AN5631
FALSE	TRUE	2	GO:0007154	cell communication	47	47/1077	AN5057/AN4998/AN4795/AN4743/AN4685/AN8751/AN8681/AN4281/AN4238/AN4167/AN4036/AN3934/AN12478/AN3735/AN3592/AN7252/AN7104/AN7487/AN10999/AN7698/AN7743/AN6351/AN6293/AN6487/AN6820/AN6892/AN6893/AN1404/AN1168/AN1016/AN0988/AN0978/AN0449/AN0163/AN0113/AN0112/AN0106/AN0081/AN1731/AN1733/AN2269/AN2439/AN2474/AN3438/AN3090/AN5787/AN5635
FALSE	TRUE	2	GO:0007163	establishment or maintenance of cell polarity	20	20/1077	AN4743/AN4685/AN8751/AN11059/AN4278/AN3757/AN3735/AN7487/AN7698/AN6037/AN1324/AN1171/AN1002/AN0988/AN0106/AN1485/AN2516/AN10396/AN3062/AN2877
FALSE	TRUE	2	GO:0008219	cell death	2	2/1077	AN3592/AN10673
FALSE	TRUE	2	GO:0019835	cytolysis	2	2/1077	AN3583/AN0163
FALSE	TRUE	2	GO:0016043	cellular component organization	93	93/1077	AN5057/AN4998/AN4783/AN4743/AN4707/AN4697/AN4601/AN4579/AN4475/AN4332/AN8751/AN8724/AN8605/AN8170/AN11072/AN4281/AN4278/AN10515/AN4167/AN3928/AN3735/AN3710/AN3583/AN3579/AN7047/AN7032/AN7019/AN7487/AN7545/AN7561/AN7677/AN7687/AN7698/AN6351/AN6297/AN6293/AN6068/AN5981/AN5885/AN5865/AN5803/AN6487/AN6675/AN6892/AN6893/AN12408/AN1399/AN1324/AN1245/AN1242/AN1171/AN1168/AN10164/AN1089/AN1002/AN0703/AN0472/AN0421/AN0420/AN0253/AN0163/AN0127/AN0113/AN0106/AN0081/AN8877/AN1407/AN1408/AN1469/AN1485/AN10215/AN1921/AN1922/AN2141/AN2143/AN2212/AN2426/AN2438/AN2439/AN2516/AN9116/AN11175/AN3470/AN3448/AN3062/AN2925/AN2850/AN10336/AN5102/AN5797/AN5648/AN5631/AN5614
FALSE	TRUE	2	GO:0016458	gene silencing	5	5/1077	AN4783/AN8724/AN0253/AN2426/AN9116
FALSE	TRUE	2	GO:0019725	cellular homeostasis	18	18/1077	AN12465/AN4332/AN8791/AN8671/AN11072/AN4238/AN10444/AN7666/AN6293/AN6107/AN6045/AN1168/AN1016/AN0703/AN10019/AN1639/AN9103/AN2977
