TRACK_ID        	TF	complex	IP_tag	TimePoint	Rep	Sonicator
An_ecmB_del_20h_polII_2_normalized.bw	ecmB_del	kdmA	polII	20h	2	2
An_ecmB_del_48h_polII_1_normalized.bw	ecmB_del	kdmA	polII	48h	1	1
An_ecmB_del_48h_polII_2_normalized.bw	ecmB_del	kdmA	polII	48h	2	2
An_ecmB_kdmA_del_20h_HA_1_normalized.bw	ecmB_kdmA_del	kdmA	HA	20h	1	1
An_ecmB_kdmA_del_20h_HA_2_normalized.bw	ecmB_kdmA_del	kdmA	HA	20h	2	2
An_ecmB_kdmA_del_48h_HA_1_normalized.bw	ecmB_kdmA_del	kdmA	HA	48h	1	1
An_ecmB_kdmA_del_48h_HA_2_normalized.bw	ecmB_kdmA_del	kdmA	HA	48h	2	2
An_H3_cclA_del_20h_HIST_1_normalized.bw	H3_cclA_del	kdmA	HIST	20h	1	2
An_H3_cclA_del_48h_HIST_1_normalized.bw	H3_cclA_del	kdmA	HIST	48h	1	2
An_H3_kdmA_del_20h_HIST_1_normalized.bw	H3_kdmA_del	kdmA	HIST	20h	1	2
An_H3_kdmA_del_48h_HIST_1_normalized.bw	H3_kdmA_del	kdmA	HIST	48h	1	2
An_H3K36Me3_cclA_del_20h_HIST_1_normalized.bw	H3K36Me3_cclA_del	kdmA	HIST	20h	1	2
An_H3K36Me3_cclA_del_48h_HIST_1_normalized.bw	H3K36Me3_cclA_del	kdmA	HIST	48h	1	2
An_H3K36Me3_kdmA_del_20h_HIST_1_normalized.bw	H3K36Me3_kdmA_del	kdmA	HIST	20h	1	2
An_H3K36Me3_kdmA_del_48h_HIST_1_normalized.bw	H3K36Me3_kdmA_del	kdmA	HIST	48h	1	2
An_H3K4Me3_cclA_del_20h_HIST_1_normalized.bw	H3K4Me3_cclA_del	kdmA	HIST	20h	1	2
An_H3K4Me3_cclA_del_48h_HIST_1_normalized.bw	H3K4Me3_cclA_del	kdmA	HIST	48h	1	2
