sampleId	data_type	TF	timepoint	IP_tag	rep	complex	control	peakType	color
An_mcmA_teton_20h_polII_2_FAIL	polII	mcmA_teton	20h	polII	2_FAIL	kdmA	An_untagged_20h_polII_2	.	white,red
An_mcmA_teton_48h_polII_1	polII	mcmA_teton	48h	polII	1	kdmA	An_untagged_dox_48h_polII_1	.	white,red
An_mcmA_teton_48h_polII_2	polII	mcmA_teton	48h	polII	2	kdmA	An_untagged_dox_48h_polII_2	.	white,red
An_mcmA_teton_48h_polII_2_FAIL	polII	mcmA_teton	48h	polII	2_FAIL	kdmA	An_untagged_48h_polII_2	.	white,red
An_rstB_20h_HA_1	TF	rstB	20h	HA	1	kdmA	An_untagged_20h_HA_1	narrow	white,red
An_rstB_20h_HA_2	TF	rstB	20h	HA	2	kdmA	An_untagged_20h_HA_2	narrow	white,red
An_rstB_48h_HA_1	TF	rstB	48h	HA	1	kdmA	An_untagged_48h_HA_1	narrow	white,red
An_rstB_48h_HA_2	TF	rstB	48h	HA	2	kdmA	An_untagged_48h_HA_2	narrow	white,red
An_rstB_del_20h_polII_1	polII	rstB_del	20h	polII	1	kdmA	An_untagged_20h_polII_1	.	white,red
An_rstB_del_20h_polII_2	polII	rstB_del	20h	polII	2	kdmA	An_untagged_20h_polII_2	.	white,red
An_rstB_del_20h_polII_2_FAIL	polII	rstB_del	20h	polII	2_FAIL	kdmA	An_untagged_20h_polII_2	.	white,red
An_rstB_del_48h_polII_1	polII	rstB_del	48h	polII	1	kdmA	An_untagged_48h_polII_1	.	white,red
An_rstB_del_48h_polII_2	polII	rstB_del	48h	polII	2	kdmA	An_untagged_48h_polII_2	.	white,red
An_rstB_del_48h_polII_2_FAIL	polII	rstB_del	48h	polII	2_FAIL	kdmA	An_untagged_48h_polII_2	.	white,red
An_rstB_kdmA_del_20h_HA_1	TF	rstB_kdmA_del	20h	HA	1	kdmA	An_untagged_20h_HA_1	narrow	white,red
An_rstB_kdmA_del_20h_HA_2	TF	rstB_kdmA_del	20h	HA	2	kdmA	An_untagged_20h_HA_2	narrow	white,red
An_rstB_kdmA_del_48h_HA_1	TF	rstB_kdmA_del	48h	HA	1	kdmA	An_untagged_48h_HA_1	narrow	white,red
